original_english,original_rephrase,query_sentence_hindi,matched_sentence_hindi,similarity_score
I’ve always known #Bez is my spirit animal but seeing the mess he makes on @MasterChefUK confirms it 100% what a legend that man is,Bez might be messy but he's a great chef,मैं हमेशा से जानता था कि #Bez मेरा आत्मा जानवर है लेकिन यह देखकर कि वह @MasterChefUK पर गड़बड़ करता है यह 100% पुष्टि करता है कि वह आदमी क्या एक किंवदंती है,पाकिस्तान के गृह मंत्री एजाज शाह ने बतायाा कि एमक्यूएम के संस्थापक अल्ताफ हुसैन एक ब्रिटिश नागरिक थे और वहां पर अधिकारियों द्वारा जांच की जा रही थी।,0.6120672
Ain’t never really had a daddy so I’ll never really need one 🤷🏾‍♀️,I never received help from my dad so I don’t need any help now .,मेरे पास वास्तव में एक पिता नहीं था इसलिए मुझे वास्तव में एक की आवश्यकता नहीं होगी  ♀️,मेरे पिता को समय नहीं दिया गया,0.61988026
Stop gatekeeping retirement living communities. I am mentally and spiritually ready to move in.,Getting old is hard. I miss not having to worry about everything.,मैं मानसिक और आध्यात्मिक रूप से स्थानांतरित करने के लिए तैयार हूँ।,"पुरुषों की अपेक्षा महिलायें ज्यादा भावुक और मानसिक रूप से कमजोर होती हैं, इसलिए उन्हें शमशान जाने की इजाजत नहीं होती है।",0.61432195
How DARE my friends have jobs/boyfriends/lives they should consider my feelings and be free when I am,I’m upset because I am free today and none of my friends are because they have previous commitments ,मेरे दोस्तों के पास नौकरी / प्रेमी / जीवन है वे मेरी भावनाओं को ध्यान में रखना चाहिए और जब मैं हूं तो स्वतंत्र होना चाहिए,"ऐसे में आपका जीवन साथी ही एक ऐसा मित्र होता है जिससे आप अपनी हर बात, हर खुशी, हर तकलीफ साझा कर सकते हैं उस पर विश्वास कर सकते हैं और वो हर समय आपके लिए उपलब्ध होता है",0.6120467
what a great day to be stuck inside 🙃,It's a terrible day to be stuck inside.,क्या एक महान दिन अंदर फंसने के लिए ,क्या बेहतरीन सुबह है,0.60716504
"how you gonna ask me how i’m doing “on this fine labor day” while you’re off, as I’m ringing you out, on labor day.
how do you think i am 💀","“I’m working on Labor Day, I am obviously not having a great day as I could be off like you are but I’m not.”","आप मुझे कैसे पूछेंगे कि मैं इस अच्छे श्रम दिवस पर कैसे हूं जब आप छुट्टी पर हैं, जैसा कि मैं आपको कॉल कर रहा हूं, श्रम दिवस पर। आप मुझे कैसे सोचते हैं?",हेलो दोस्तों आप लोग कैसे हैं? आशा करता हूं कि आप लोग बहुत ही बढ़िया होंगे। तो दोस्तों आज की इस आर्टिकल के अंदर हम लोग बात करेंगे My Favourite Bloggers. दोस्तों मैंने जब मेरे ब्लॉगिंग जर्नी शुरू किया था तब मैंने कहा से ब्लॉगिंग सिखा था और कौन सी यूट्यूब चैनल को फॉलो करके मैंने क्लॉगिंग सीखा है आज वही आप लोगों के साथ शेयर करने जा रहा हूं।,0.6207616
"At least half of my days are still bad days and let me tell you, i've never once killed 8 people because of it. A true miracle apparently",I've been depressed for a long time and I never managed to kill anyone. It isn't hard not to do.,"कम से कम मेरे आधे दिन अभी भी बुरे दिन हैं और मुझे आपको बता दें, मैंने इसके कारण एक बार भी 8 लोगों को नहीं मारा है।","उन्होंने कहा, “नहीं (मैं किसी के साथ नहीं सोई हूं) और मैंने 12 साल पहले उसे खो दिया। चिंतित ना हों, मैं निराश नहीं हूं।”",0.60344225
"Queer marriage is not allowed because it doesn't follow the ""age-old customs, rituals, practices, culturla ethos and societal values"", but all cis-men can commit infidelity with no consequences. Happy fuckin Pride people 🙃 #SupremeCourtofIndia","While we are celebrating pride, we should also understand that we are denying non-binary people rights because of prejudices of the Supreme Court.","समलैंगिक विवाह की अनुमति नहीं है क्योंकि यह ""प्राचीन रीति-रिवाजों, रीति-रिवाजों, प्रथाओं, सांस्कृतिक नैतिकता और सामाजिक मूल्यों"" का पालन नहीं करता है, लेकिन सभी सिस्-पुरुष बिना किसी परिणाम के बेवफाई कर सकते हैं।","नाइट कर्फ्यू के दौरान रात नौ से सुबह छह बजे तक सामाजिक, सांस्कृतिक, राजनीतिक, शादी-समारोह समेत अन्य कार्य का आयोजन नहीं हो सकेगा। प्रशासनिक व पुलिस अधिकारियों को इस पर नजर रखने का निर्देश दिया गया है। डीएम ने सभी से कोरोना गाइडलाइन के अनुपालन का निर्देश दिया है।",0.62287134
The numbers talking to me!,It's as if the numbers are talking too me,संख्याएँ मुझसे बात कर रही हैं!,संख्याएँ.,0.61288065
ik the republicans r like tryna say they won but idk why they don’t just settle this w an instagram poll??,"The republican claim of voter fraud was not based in fact and the majority of US voters voted for Joe Biden, and that would be true in any re-voting process",ट्रिन की तरह रिपब्लिकन लोग कहते हैं कि वे जीते हैं लेकिन मुझे पता है कि वे इसे इंस्टाग्राम पोल में क्यों नहीं सुलझाते?,महिलाएं मेट्रो में सुरक्षित महसूस करेंगी लेकिन उनकी मेट्रो के बाहर की सुरक्षा के बारे में क्या?,0.605035
I accidentally made butter when trying to whip cream this morning and I think that’s a great representation of how I’ve reached my capacity for working from home,Having my cream ruined by accidentally making butter makes me feel it represents the lack of productivity I’m able to have while working at home ,मैंने आज सुबह क्रीम पीसने की कोशिश करते समय गलती से मक्खन बनाया और मुझे लगता है कि यह एक महान प्रतिनिधित्व है कि मैंने घर से काम करने की क्षमता कैसे हासिल की है,"उन्होंने आगे कहा, ""यह मेरा घरेलू मैदान है और इस तरह के विकेट पर मैं पहले भी खेल चुका हूं। मुझे थोड़ा आभास था कि इस तरह के विकेट पर कैसे खेला जाता है। मैंने खराब गेंदों को छोड़ने और अच्छी गेंदों को सम्मान देने की कोशिश की। मैं अपने प्रदर्शन से खुश हूं।""",0.6072679
"I asked my husband to buy dog poo bags when he went out earlier and they'd sold out. So instead of going to another shop, he bought bin bags. So now I still can't clean up after the dog but if I happen to buy a donkey and need to clean up after that, I'm sorted.",I asked my husband to buy dog poo bags but the shop had run out so he bought bin bags instead.  ,"मैंने अपने पति से पहले कुत्ते के कंकड़ के बैग खरीदने के लिए कहा था और वे बिक चुके थे, इसलिए दूसरे स्टोर जाने के बजाय उसने कचरे के बैग खरीदे। इसलिए अब भी मैं कुत्ते के बाद साफ नहीं कर सकता लेकिन अगर मैं एक गधे खरीदता हूं और उसके बाद साफ करने की जरूरत है, तो मैं व्यवस्थित हूं।",हालांकि अदालत ने कहा कि परिवार अदालत ने तलाक की पति की याचिका खारिज कर दी है और यह घर पति का है क्योंकि उसने यह घर शादी से पहले खरीदा था। इसलिए उसे वहां रहने से नहीं रोका जा सकता।,0.64372706
i’m dying,i am so drained ,मैं मर रहा हूँ,मेरा अपहरण हो रहा है,0.63001436
Wow it’s almost like we don’t nap every single day at the exact same time wow how dare I try to do the thing we do every single day!,We nap at the same time every day,वाह यह लगभग ऐसा है जैसे हम हर एक दिन एक ही समय में सोते नहीं हैं वाह मैं कैसे हिम्मत करने की कोशिश करता हूं कि हम हर एक दिन क्या करते हैं!,"यह रोगियों के लिए कई बार मुश्किल हो जाता है (उदाहरण के लिए, पारी में काम करने वाले लोग जो अपना भोजन अनियमित समय पर खाते हैं) और इसलिए रोगी को सिर्फ दवा लेने के लिए अपनी दिनचर्या से एक घंटा जल्दी जागना पड़ता है।",0.60007095
"@AsdaServiceTeam imagine your delivery being 2 hours late, and imagine calling up your service team only for them to hang up at 10pm, coincidentally the same time the office closes. But it’s okay, my £3 delivery fee is being refunded though 👊🏻",It's not acceptable for you to just refund my delivery fee. ,"@AsdaServiceTeam कल्पना करें कि आपकी डिलीवरी 2 घंटे देरी से हो रही है, और कल्पना करें कि आप अपनी सेवा टीम को केवल 10 बजे ही फोन कर सकते हैं, संयोग से कार्यालय के बंद होने के समय। लेकिन यह ठीक है, मेरी 3 पाउंड की डिलीवरी शुल्क वापस कर दी जा रही है हालांकि 🏻","अभी पिछले दिनों ही एयर इंडिया ने कार्य में लापरवाही बरतने के आरोप में अपने 17 केबिन क्रू सदस्यों की सेवाएं समाप्त कर दी थीं। इसके बाद इन सभी केबिन क्रू कर्मियों ने डीजीसीए से शिकायत की है कि उन्हें गलत तरीके से बर्खास्त किया गया है। वे केवल नियमों का पालन कर रहे थे। मौजूदा नियम ऐसे हैं कि उनकी विभिन्न प्रकार से व्याख्या की जा सकती है। लिहाजा, समिति यह देखने का प्रयास कर रही है कि क्या नियमों में बदलाव आवश्यक है।",0.60247266
"Thank you twitter for deciding to completely reset your list of the ""suggested topics to follow"" I've clicked to ignore (all of them), so now I'm back to seeing hundreds of them, every time. Really appreciate you doing that.","Twitter has reset the ""topics you might be interested in"". It's awful - all the topics I've clicked ""ignore"" on are coming back to the ""topics..."" section when I scroll any profile or TL, and it's so become a very frustrating experience.","धन्यवाद ट्विटर ने पूरी तरह से अपने ""अनुशंसित विषयों का अनुसरण करने"" की सूची को रीसेट करने का फैसला करने के लिए, मैंने अनदेखा करने के लिए क्लिक किया है (उनमें से सभी), इसलिए अब मैं हर बार सैकड़ों को देखने के लिए वापस आ गया हूं।","फ़वाद ने ट्विटर पर लिखा, ""'ट्विटर पर मिले रहे प्यार भरे संदेशों से मैं अभिभूत हूँ. आप सभी को धन्यवाद.""",0.60203433
if 2020 was a nose it’d be mine 🐦,My nose is awful,अगर 2020 एक नाक होती तो यह मेरी होती,काश इसका एड्रेस मेरे पास होता,0.63071895
why is the weather having a mid life crisis,“why is up with the weather at the moment” ,मौसम में मध्य आयु संकट क्यों है?,कोविड महामारी के दौरान हर्पीज खबरों में क्यों है?,0.63430595
@WilliamShatner Mr Shatner whilst you were sleeping you asked me to join Facebook messenger and then after a polite conversation you then offered me gold necklaces and a singed (sic) tee-shirt - you made my Friday night sir... just awaiting your instructions so I can wire the money...,I would have said it ruined my Friday when I realised that I had been fooled by a Shatner impersonator. ,@WilliamShatner श्री शटनर जब आप सो रहे थे तो आपने मुझे फेसबुक मैसेंजर में शामिल होने के लिए कहा और फिर एक सभ्य बातचीत के बाद आपने मुझे सोने के हार और एक गाए हुए टी-शर्ट की पेशकश की - आपने मेरी शुक्रवार की रात बनाई सर... बस आपके निर्देशों का इंतजार कर रहा था ताकि मैं पैसा वायर कर सकूं...,"श्री सत्यार्थी और मुख्यमंत्री हेमंत सोरेन के बीच इस मुद्दे को लेकर सोमवार की शाम टेलीफोन पर बातचीत भी हुई है. श्री सत्यार्थी ने ट्वीट कर इसकी जानकारी देते हुए बताया कि मुख्यमंत्री हेमंत सोरेन के साथ चाइल्ड ट्रैफिकिंग और चाइल्ड लेबर को लेकर सकारात्मक बातचीत हुई. खास कर माइका खदानों में लगे बाल मजदूरों के मुद्दे पर. उन्होंने इस काम के लिए अपनी पूरी प्रतिबद्धता जतायी, वहीं मैंने भी पूरा समर्थन देने का भरोसा दिया है. गौरतलब है कि गिरिडीह और कोडरमा में बड़ी संख्या बच्चे ढिबरा चुनने का काम करते हैं.",0.62591386
"Absolutely LOVE spider season! I love crying in fear. I love not being able to sleep. I love people telling me that I'm being ridiculous. I love hearing ""it's not gonna hurt ye"". I love using every orange peel, conker and peppermint oil known to man. I love fear. 😑",That I am now living in fear and hate spidershttps://twitter.com/QueenAtoB/status/1430308715744440322?s=19,"मुझे डर से रोना पसंद है. मुझे नींद नहीं आ रही है. मुझे पसंद है कि लोग मुझे बताएं कि मैं हास्यास्पद हूं। मुझे पसंद है कि ""यह आपको चोट नहीं पहुंचाएगा"" सुनना पसंद है। मुझे हर नारंगी छील, कॉंकर और मक्खन तेल का उपयोग करना पसंद है जो मनुष्य जानता है। मुझे डर पसंद है। ","कांग्रेस के मुख्य प्रवक्ता रनदीप सुरजेवाला ने प्रधानमंत्री के इस ट्वीट का हवाला देते हुए कहा कि मुझे तो डर लगता है, देश के हर नागरिक को डर लगना चाहिए. ये 6 बजे और 8 बजे का सम्बोधन डराता है. एक बार बोले तो नोटबन्दी, दूसरी बार जी एस टी लगा दिया,तीसरी बार लॉक डाउन करा दिया ,लाखों बिहार के भाई बहन को पैदल चलवा दिया. भाई मोदी जी के सम्बोधन से तो डर लगता है पता नही क्या गुल खिलाएंगे. योगी जी भी आये हैं आज बिहार,पता नही हेलिकोप्टर में हाथरस के दोषियों को भी बैठा कर साथ में लाये हों,बच कर रहिएगा. ये वो हैं जो फायर ब्रिगेड की गाड़ी से लोगों पर दवा छिड़कवाते हैं पता नही इन्सान को ये क्या समझते हैं.",0.61661536
alllllll nighter. woohoo,All nighter. Not every exciting,सभी रात के लिए. Woohoo,सब अच्छे के लिए होता है,0.6119264
why is the weather having a mid life crisis,“why is up with the weather at the moment” ,मौसम में मध्य आयु संकट क्यों है?,गर्भावस्था के दौरान भी मेरे पति इतने बेफिक्र क्यों रहते हैं।,0.6443019
ITS COMING HOOOOOME,It’s coming Rome,यह आ रहा है,ये रहेगा समय,0.66688555
How bout you dont use a gazillion filters on your pictures,You edit your pictures so much it doesn’t look like you,आप अपनी तस्वीरों पर एक गैज़िलियन फिल्टर का उपयोग क्यों नहीं करते हैं,उयूनी में तस्वीर लेने में आपको तीन साल का समय क्यों लगा?,0.6227908
"Thank you twitter for deciding to completely reset your list of the ""suggested topics to follow"" I've clicked to ignore (all of them), so now I'm back to seeing hundreds of them, every time. Really appreciate you doing that.","Twitter has reset the ""topics you might be interested in"". It's awful - all the topics I've clicked ""ignore"" on are coming back to the ""topics..."" section when I scroll any profile or TL, and it's so become a very frustrating experience.","धन्यवाद ट्विटर ने पूरी तरह से अपने ""अनुशंसित विषयों का अनुसरण करने"" की सूची को रीसेट करने का फैसला करने के लिए, मैंने अनदेखा करने के लिए क्लिक किया है (उनमें से सभी), इसलिए अब मैं हर बार सैकड़ों को देखने के लिए वापस आ गया हूं।",ट्विटर ने शनिवार को मोहन भागवत सहित आरएसएस के कई नेताओं के अकाउंट से ब्‍लू टिक हटा दिया था। बाद में इसे बहाल कर दिया गया।,0.62812763
When you order books from the bookstore a week in advance and then you wait three weeks for ONE book and when you finally email them about it they reply and say they cancelled your order 😍🥰,"I would take out “when,” and insert more displeased looking emojis at the end or maybe have none at all",जब आप एक सप्ताह पहले बुकस्टोर से किताबें ऑर्डर करते हैं और फिर आप एक किताब के लिए तीन सप्ताह इंतजार करते हैं और जब आप अंततः उन्हें इसके बारे में ईमेल करते हैं तो वे जवाब देते हैं और कहते हैं कि उन्होंने आपका ऑर्डर रद्द कर दिया है 😍🥰,"फिशिंग में आपके बैंक के नाम से ईमेल आते हैं, जिसमें कहा जाता है कि आपका डेबिट कार्ड रद्द हो गया है और कार्ड नंबर या आधार नंबर बताने पर ही आपको नया कार्ड जारी किया जाएगा। आपको लग सकता है कि बैंक ने ही यह जानकारी मांगी है, लेकिन यह हैकर हो सकता है।",0.60195124
Sometimes I wonder if Priti Patel and Boris Johnson think that the Prime Minister is the one with the best K/D ratio. It would make sense with the whole 'let the bodies pile high' thing.,Priti Patel and Boris Johnson are doing a terrible job dealing with Covid.,कभी-कभी मुझे आश्चर्य होता है कि क्या प्रीति पटेल और बोरिस जॉनसन सोचते हैं कि प्रधानमंत्री के पास सबसे अच्छा K/D अनुपात है।,सवाल यह है कि क्या पाकिस्तान की तरफ़ से ये मामला उठाया गया था राष्ट्रपति बुश के साथ हुई मुलाक़ात में?,0.60164666
"dad: ""are ya sending any of those boys from 5soz (wtf is a 5soz dad) a valentines gift?"" 
me: yes dad yes i am cuz im dating all of them duh",im not dating any of them,"पिताः ""क्या आप उन लड़कों में से किसी को भेज रहे हैं 5soz (WTF एक 5soz पिता) एक वेलेंटाइन उपहार?",प्रश्न:- आप कोई मेसेज देना चाहेंगे.,0.62603515
Hey what's the weather like today? Am I going to need an umbrella?,I'm joining in with the rest of Twitter and can't believe how much rain there is,आज मौसम कैसा है? क्या मुझे एक छाता की आवश्यकता होगी?,अगले दो दिनों तक कैसा रहेगा मौसम,0.63951087
Worked out 2 days in a row. I am quite literally the epitome of health and fitness,"i've worked out for two days in a row, i feel healthy.",मैं सचमुच स्वास्थ्य और फिटनेस का प्रतीक हूं,"उन्होंने बताया, ""मैं एक स्क्वैश खिलाड़ी हूं और हमेशा ट्रेनिंग पर भी जाता रहता हूं। इसलिए तन-मन से हमेशा फिट रहता हूं।""",0.61976635
I love it when professors draw a big question mark next to my answer on an exam because I’m always like yeah I don’t either ¯\_(ツ)_/¯,I do not like when professors don’t write out specific notes on my answers to exams.,मुझे यह पसंद है जब प्रोफेसर एक परीक्षा पर मेरे जवाब के बगल में एक बड़ा प्रश्न चिह्न खींचते हैं क्योंकि मैं हमेशा हाँ मैं नहीं करता हूँ,"जवाब:  मुझे स्टैमरिंग की समस्या है. जिसके चलते ओरल एग्जाम में जाना मुझे अच्छा  नहीं लगता था. हकलाहट के कारण मैं किसी से बात करने में डरता था. किसी टीचर  के सामने कुछ भी कहना मेरे लिए काफी कठिन होता था. इसलिए स्कूल में जब भी  ओरल टेस्ट होने वाला होता था उस दिन मैं स्कूल से बंक मार देता था. कभी  बीमार हो जाता था, कभी मेरा हाथ टूट जाता था तो कभी मुझे मोच आ जाती थी. मतलब मुझे किसी भी तरीके से वह टेस्ट नहीं देना पड़े इसका मैं बहाने तलाशता.",0.6070031
"@benshapiro it’s true, every time my little cousins put on their masks they choke to death and have to be revived. it’s very stressful for us.",No.,"@benshapiro यह सच है, हर बार जब मेरे छोटे चचेरे भाई मास्क पहनते हैं तो वे मर जाते हैं और उन्हें पुनर्जीवित किया जाना पड़ता है। यह हमारे लिए बहुत तनावपूर्ण है।",जावेद अख्तर ने कहा कि यह वास्तव में बहुत ही बड़ी त्रासदी है कि सूरत में 17 जवान लोगों की मौत जिंदा जलने से हो चुकी है और उनके परिवार और दोस्तों के प्रति मेरी संवेदना है. हमारे देश के सभी शहरों की नगरपालिकाओं को अग्नि सुरक्षा नियमों का पालन करने वाली प्रत्येक इमारत को बनाने के लिए अधिक सख्त और आग्रहपूर्ण होना चाहिए.,0.60331917
"Tonight @ dinner I sat by &amp; chatted w/ the former chancellor of Ole Miss, a former Miss MS, &amp; the owner of the Miss America pageant

Casual.","Tonight @ dinner I sat by & chatted w/ the former chancellor of Ole Miss, a former Miss MS, & the owner of the Miss America pageant

I'm freaking out this was so cool!!!","आज रात मैं ओले मिस के पूर्व चांसलर, एक पूर्व मिस एमएस, और मिस अमेरिका प्रतियोगिता के मालिक के साथ बैठकर बात कर रहा था।",आशा अग्रवाल एक पूर्व भारतीय महिला मैराथन चैंपियन और अर्जुन पुरस्कार से सम्मानित खिलाड़ी हैं।,0.6199018
this is my 3rd time taking a biology course and it’s so EASY wow i love biology so much i’m so glad i’m so good at this subject.,"""This is my 3rd time taking the same biology course, I am not good at this subject at all""",यह मेरी तीसरी बार जीव विज्ञान पाठ्यक्रम ले रहा है और यह इतना आसान है वाह मुझे जीव विज्ञान बहुत पसंद है मुझे बहुत खुशी है कि मैं इस विषय में इतना अच्छा हूँ।,"हिमाचली संस्कृति से मुझे बहुत प्यार है। इस पक्ष से मुझे बेहद लगाव है और इसी को लेकर मैं फिल्में बना भी रहा हूं। इसके अलावा  सफलता की जहां तक बात की जाए, तो वो भी मुझे एक  हिमाचली के तौर पर ही मिली है और मुझे हिमाचली होने पर गर्व है।",0.61218107
