original_english,original_rephrase,query_sentence_hindi,matched_sentence_hindi,similarity_score
every time i send my mom pictures of me and one of my friends doing fun things the first question she asks is if we're on a date what are you trying to tell me mother,my mom thinks i'm dating every one of my friends whenever i send her pictures because she thinks i'm lonely. ,हर बार जब मैं अपनी माँ को मेरे और मेरे दोस्तों में से एक की मजेदार चीजें करने की तस्वीरें भेजता हूं पहला सवाल वह पूछता है कि क्या हम एक तारीख पर हैं क्या आप मुझे बताने की कोशिश कर रहे हैं माँ,"उन्होंने आगे कहा कि एक समय तो ऐसा हो गया था कि मैं जहां भी जाती थी, हर इंटरव्यू में मेरे से यही सवाल पूछा जाता था। यहां तक कि मेरे माता-पिता तक मेरे से यह सवाल पूछने लगे थे। मैं कहती थी कि मां आप मुझे खुश देखना चाहती हो या फिर शादी करते? मैं कल किसी से भी शादी कर सकती हूं, यह आप जानती हैं। वह आखिरी बार था जब मां ने मेरे से यह सवाल किया।",0.6751011
It was the jerseys,Theyre embarrassed of their uniforms so theyre playing badly ,यह टी-शर्ट थे,यह थी वारदातें,0.6742555
just found ive been walking on a broken foot for the past 6 months 🤪🤪🤪,Just found out I've been walking on a broken foot for the past six months :( may have to get surgery again,बस पाया मैं पिछले 6 महीने के लिए एक टूटा पैर पर चल रहा था ,6 माह में सिर्फ दो किमी रोड,0.67379457
Why are toddlers allowed in public spaces,I do not enjoy having to listen to loud toddlers in public spaces. ,सार्वजनिक स्थानों में बच्चों को जाने की अनुमति क्यों है?,बच्चों क्यों इंतजार करना पड़ेगा?,0.67338115
just found ive been walking on a broken foot for the past 6 months 🤪🤪🤪,Just found out I've been walking on a broken foot for the past six months :( may have to get surgery again,बस पाया मैं पिछले 6 महीने के लिए एक टूटा पैर पर चल रहा था ,सिर्फ 6 महीने के लिए वैध,0.671125
ITS COMING HOOOOOME,It’s coming Rome,यह आ रहा है,यह होता है नौसादर,0.6710646
ITS COMING HOOOOOME,It’s coming Rome,यह आ रहा है,यह है मांगे,0.6704668
Idk how some girls put on makeup everyday. Is it just to take selfies or have you just not discovered netflix yet?,I don't know why girls put on makeup everyday.,क्या यह सिर्फ सेल्फी लेने के लिए है या आपने अभी तक नेटफ्लिक्स की खोज नहीं की है?,क्या आपने भी चुपके से गूगल पर सर्च की ये फिल्में?,0.6704005
Hey what's the weather like today? Am I going to need an umbrella?,I'm joining in with the rest of Twitter and can't believe how much rain there is,आज मौसम कैसा है? क्या मुझे एक छाता की आवश्यकता होगी?,बाजरे की खेती के लिए कैसा होना चाहिए मौसम?,0.6691134
How does one find motivation to do basically anything? Asking for a friend.,"""How does somebody find motivation to do basically anything? I haven't had motivation in ages.""",किसी को कुछ भी करने के लिए प्रेरणा कैसे मिलती है?,कोई कैसे लिख सकता है?,0.6681533
ITS COMING HOOOOOME,It’s coming Rome,यह आ रहा है,ये रहेगा समय,0.66688555
i’m dying,i am so drained ,मैं मर रहा हूँ,मैं ढूंढ रहा हूं,0.66479844
Why are toddlers allowed in public spaces,I do not enjoy having to listen to loud toddlers in public spaces. ,सार्वजनिक स्थानों में बच्चों को जाने की अनुमति क्यों है?,खेलकूद स्कूल में कैसे भाग नहीं ले पाए बच्चे,0.66341996
There is not enough people here #ivoryrooms,Ivory rooms is not busy tonight,यहाँ पर्याप्त लोग नहीं हैं #ivoryrooms,यहां भी लोगों को नहीं मिल रहा लाभ,0.66317296
Only posting selfie’s?? On YOUR own Instagram account?? Crazy right,It's my Instagram for a reason why wouldn't it be all pictures of me?,केवल अपने स्वयं के इंस्टाग्राम खाते पर सेल्फी पोस्ट करना? पागल सही,हाल ही में आपका इंस्टाग्राम पोस्ट आपके कठिन समय के बारे में है?,0.66309506
i’ve never had protected sex,I always use protection when having sex,मैंने कभी संरक्षित सेक्स नहीं किया है,'मैं पहले इतनी कभी नहीं डरीं',0.6620272
this is my 3rd time taking a biology course and it’s so EASY wow i love biology so much i’m so glad i’m so good at this subject.,"""This is my 3rd time taking the same biology course, I am not good at this subject at all""",यह मेरी तीसरी बार जीव विज्ञान पाठ्यक्रम ले रहा है और यह इतना आसान है वाह मुझे जीव विज्ञान बहुत पसंद है मुझे बहुत खुशी है कि मैं इस विषय में इतना अच्छा हूँ।,"मैक्रोबायोटिक आहार प्राकृतिक दुनिया के साथ खुद को संतुलित करने के बारे में है, इसलिए आहार में आसानी लाने और उन व्यंजनों को सीखना महत्वपूर्ण है जिन्हें आप आनंद लेंगे। ""मैक्रोबायोटिक्स में डबलिंग से जाने के लिए तीन साल लग गए, एक दिन में 3 मैक्रो भोजन खाने - खुशी से और लगातार।",0.6607082
How does one find motivation to do basically anything? Asking for a friend.,"""How does somebody find motivation to do basically anything? I haven't had motivation in ages.""",किसी को कुछ भी करने के लिए प्रेरणा कैसे मिलती है?,कोई किसी को वोट के लिए मजबूर नहीं कर सकता,0.66066074
‘It’s only a game’ 🥴🥴,Look how important these clubs are to their fans!,यह सिर्फ एक खेल है ,इस तरह करती हैं खेल,0.6598236
My dream is to be left alone.,I simply do not want to be bothered by annoying people ever again.,मेरा सपना अकेला छोड़ना है।,मेरा एक सपना है,0.65967655
"Tonight @ dinner I sat by &amp; chatted w/ the former chancellor of Ole Miss, a former Miss MS, &amp; the owner of the Miss America pageant

Casual.","Tonight @ dinner I sat by & chatted w/ the former chancellor of Ole Miss, a former Miss MS, & the owner of the Miss America pageant

I'm freaking out this was so cool!!!","आज रात मैं ओले मिस के पूर्व चांसलर, एक पूर्व मिस एमएस, और मिस अमेरिका प्रतियोगिता के मालिक के साथ बैठकर बात कर रहा था।","आज मेरी दो लोगो से बात हुई, एक 6 महीने का बच्चा है, जिसने कोरोना को हराया उनकी मां से बात हुई और एक बुज़ुर्ग महिला से बात हुई, जिन्होंने कोरोना को हराया.",0.6596363
I still can’t believe England won the World Cup,I still can’t get over the fact England did not win the World Cup ,मैं अभी भी विश्वास नहीं कर सकता इंग्लैंड विश्व कप जीता,यह भी पढ़ें: 'इस बात में कोई शक नहीं है कि भारत जानबूझकर इंग्लैंड के खिलाफ वर्ल्ड कप में हारा',0.65826
There is not enough people here #ivoryrooms,Ivory rooms is not busy tonight,यहाँ पर्याप्त लोग नहीं हैं #ivoryrooms,यहां नहीं है कॉमन रूम,0.6578508
i hate it here ❤️❤️❤️❤️❤️,I hate it here. (no emojis),मुझे यहाँ से नफरत है ❤️❤️❤️❤️❤️❤️,मुझको इससे प्यार है|,0.6578245
Why are toddlers allowed in public spaces,I do not enjoy having to listen to loud toddlers in public spaces. ,सार्वजनिक स्थानों में बच्चों को जाने की अनुमति क्यों है?,सड़कों पर या सार्वजनिक जगहों पर शराब पीने की इजाज़त नहीं है.,0.657727
Why are toddlers allowed in public spaces,I do not enjoy having to listen to loud toddlers in public spaces. ,सार्वजनिक स्थानों में बच्चों को जाने की अनुमति क्यों है?,रोड पर स्पेस न होने की वजह से बड़े वाहन यहां से नहीं निकल सकते। इस वजह से स्कूल बसों ने कॉलोनी के अंदर आने से इंकार कर दिया है। ऐसे में अब बच्चों को 500 से 700 मीटर पहले ही उतारा जा रहा है। बच्चों को वहां से ट्रैफिक के बीच पैदल आना पड़ता है। ऐसे में हमेशा हादसे का डर रहता है।,0.65769416
Falling asleep at your laptop is always fun,I hate falling asleep at my laptop ,अपने लैपटॉप पर सो जाना हमेशा मजेदार होता है,लैपटॉप को हमेशा कूलिंग प्लेस पर रखना चलाना चाहिए। खूली धूप और ज्यादा गर्मी की वजह से लैपटॉप अक्सर गर्म हो जाता है।,0.65749395
Old people don’t deserve rights,old people suck,बुजुर्गों को अधिकार नहीं हैं,अफसरों ने नहीं की मदद,0.65720534
"I love calling my mom early in the morning and waking her up, I take it as pay back for all the times she never let me sleep in 😜",It’s funny how my mom used to wake me now I wake her.,"मैं अपनी माँ को सुबह जल्दी फोन करना पसंद करता हूं और उसे जागाना, मैं इसे उन सभी समय के लिए भुगतान के रूप में लेता हूं जब उसने मुझे कभी सोने नहीं दिया 😜",मैंने आमिश को नाश्ते के लिए बोला तो उसने कहा कि आप मुझे नाश्ते के लिए कैसे पूछ सकती हैं जब मैं पहले से स्कूल के लिए लेट हो रहा हूं?,0.65719277
Hey what's the weather like today? Am I going to need an umbrella?,I'm joining in with the rest of Twitter and can't believe how much rain there is,आज मौसम कैसा है? क्या मुझे एक छाता की आवश्यकता होगी?,कैसा है पिच और मौसम का हाल,0.6568001
"Queer marriage is not allowed because it doesn't follow the ""age-old customs, rituals, practices, culturla ethos and societal values"", but all cis-men can commit infidelity with no consequences. Happy fuckin Pride people 🙃 #SupremeCourtofIndia","While we are celebrating pride, we should also understand that we are denying non-binary people rights because of prejudices of the Supreme Court.","समलैंगिक विवाह की अनुमति नहीं है क्योंकि यह ""प्राचीन रीति-रिवाजों, रीति-रिवाजों, प्रथाओं, सांस्कृतिक नैतिकता और सामाजिक मूल्यों"" का पालन नहीं करता है, लेकिन सभी सिस्-पुरुष बिना किसी परिणाम के बेवफाई कर सकते हैं।",उन्होंने कहा ‘‘यही वजह है कि इस्लाम समेत विभिन्न धर्मों में शादी के लिए कोई उम्र तय नहीं की गई है। यह पूरी तरह से अभिभावकों के विवेक पर निर्भर करता है। अगर किसी लड़की के अभिभावक यह महसूस करते हैं कि उनकी बेटी 21 साल की उम्र से पहले ही शादी के लायक है और वह शादी के बाद की अपनी तमाम जिम्मेदारियां निभा सकती है तो उसे शादी से रोकना क्रूरता है और किसी वयस्क की व्यक्तिगत स्वतंत्रता में हस्तक्षेप भी है। इससे समाज में अपराध बढ़ने की भी आशंका है।’’,0.65652823
"I hurt my foot like 3 days ago,  I have no idea how, but it hurts to put pressure on it. Love that for me","I really do not love hurting my foot, it's really painful! ","मैं अपने पैर को चोट लगी की तरह 3 दिन पहले, मुझे पता नहीं है कैसे, लेकिन यह दर्द होता है उस पर दबाव डाल करने के लिए.","दलजीत ने मीडिया एजेंसी आईएनएस से बात करते हुए कहा, 'मैं तीन दिन से ज्यादा अपने बेटे से अलग कभी नहीं रही हूं। मुझे नहीं पता कि मैं दो हफ्ते उसके बिना कैसे रही। मेरे लिए अपने भावनाओं पर काबू पाना बेहद मुश्किल था। कभी-कभी जेडॉन को याद करने के दौरान मेरे सीने में दर्द शुरू हो जाता था। कोई नहीं जानता कि यह मेरे लिए कितना मुश्किल था, लेकिन इसने मुझे अब और भी ज्यादा मजबूत बना दिया है।'",0.6562913
Has any couple ever put furniture together and stayed together afterwards??? Asking for myself,I could have said putting furniture together with your significant other is not easy ,क्या किसी जोड़े ने कभी फर्नीचर एक साथ रखा है और उसके बाद एक साथ रहे हैं?,4. परिवार हमेशा के लिए एक साथ होना चाहिए!,0.65584636
It was the jerseys,Theyre embarrassed of their uniforms so theyre playing badly ,यह टी-शर्ट थे,टी-शर्ट के साथ पसंद हैं ये कपड़े पहनना,0.6555716
"""Should I wear my lime green pants?"" dad its 4th of july...",Should I wear my red and blue pants ,"""क्या मुझे अपनी नींबू की हरी पैंट पहननी चाहिए?",“क्या आप मेरी एक सिगरेट लेंगे?”,0.65549314
"So I have an exam tomorrow, but likeee if the country is about to turn into a war zone does it really matter??",I have to take this exam even when the world is falling apart. ,"तो मेरे पास कल एक परीक्षा है, लेकिन क्या यह वास्तव में मायने रखता है कि देश युद्ध के क्षेत्र में बदलने वाला है?",लेकिन ये वो समय भी है जब दुनिया भर में युद्ध लड़ने का तरीका तेजी से बदल रहा है.,0.6553033
@RealCandaceO Ok so when does the anger and bitterness start? Just so I can prepare properly…,"I don't believe that this happens to everyone, and it won't happen to me.",@RealCandaceO ठीक है तो क्रोध और कड़वाहट कब शुरू होती है?,कब और कैसे शुरु हुआ आंदोलन ?,0.655149
Sleep? What’s that... I’ve never heard of it?,I haven't been able to sleep all night,नींद क्या है ... मैंने इसके बारे में कभी नहीं सुना है?,क्या आपने भी देखा है ऐसा सपना ?,0.6551159
"Thanks to India for being so inept. I was hoping for a full day of cricket, got snacks and everything. Cheers. You could have at least tried. #bbccricket #INDvENG #ENGvsIND #Cricket",I am pleased with my team’s performance,"भारत के लिए धन्यवाद इतनी अक्षम होने के लिए. मैं क्रिकेट के पूरे दिन की उम्मीद कर रहा था, स्नैक्स और सब कुछ मिला। जय. आप कम से कम कोशिश कर सकते थे। #bbccricket #INDVENG #ENGvsIND #Cricket","क्रिकेटर वीरेंद्र सहवाग ने लिखा, ""जिमनास्टिक, जिसके लिए भारत में मूलभूत सुविधाओं की बेहद कमी है, उस खेल के लिए पूरे भारतवासियों को आधी रात को इकट्ठा करने के लिए आपको बहुत शुक्रिया.""",0.6550003
Old people don’t deserve rights,old people suck,बुजुर्गों को अधिकार नहीं हैं,बुजुर्गों को करना पड़ेगा इंतजार,0.6546578
i’m dying,i am so drained ,मैं मर रहा हूँ,कहां हुई मौत,0.6543699
There is not enough people here #ivoryrooms,Ivory rooms is not busy tonight,यहाँ पर्याप्त लोग नहीं हैं #ivoryrooms,पर्याप्त कैमरे नहीं,0.6543501
ITS COMING HOOOOOME,It’s coming Rome,यह आ रहा है,आ रही गर्मी,0.65432394
"Queer marriage is not allowed because it doesn't follow the ""age-old customs, rituals, practices, culturla ethos and societal values"", but all cis-men can commit infidelity with no consequences. Happy fuckin Pride people 🙃 #SupremeCourtofIndia","While we are celebrating pride, we should also understand that we are denying non-binary people rights because of prejudices of the Supreme Court.","समलैंगिक विवाह की अनुमति नहीं है क्योंकि यह ""प्राचीन रीति-रिवाजों, रीति-रिवाजों, प्रथाओं, सांस्कृतिक नैतिकता और सामाजिक मूल्यों"" का पालन नहीं करता है, लेकिन सभी सिस्-पुरुष बिना किसी परिणाम के बेवफाई कर सकते हैं।","- सभी सामाजिक,राजनीतिक,खेलकूद, मनोरंजन,शैक्षणिक,सांस्कृतिक,सार्वजनिक व धार्मिक कार्यक्रम के आयोजन में लोगों का एकत्रित होना पूरी तरह प्रतिबंधित होगा।",0.65432215
i’ve never had protected sex,I always use protection when having sex,मैंने कभी संरक्षित सेक्स नहीं किया है,महिलाएं सुरक्षित नहीं,0.65384847
How does one find motivation to do basically anything? Asking for a friend.,"""How does somebody find motivation to do basically anything? I haven't had motivation in ages.""",किसी को कुछ भी करने के लिए प्रेरणा कैसे मिलती है?,"जीवन का कोई एक सिद्धांत, प्रेरणा या दिशा- जिसकी बदौलत यहां तक पहुंचे?",0.65366554
it’s always the girls I don’t even know that wanna talk about me 24/7 :) I love my fans :),I don’t like people who talk bad about me,यह हमेशा उन लड़कियों के बारे में है जिन्हें मैं नहीं जानता जो मेरे बारे में 24/7 बात करना चाहते हैं :) मैं अपने प्रशंसकों से प्यार करता हूँ :),"वहीं लड़कियों की हमेशा ही ये जानने की उत्सुकता बनी रहती है के लड़कों को लड़कियों में क्या पसंद आता है, किस तरह कि लड़कियां पसंद करते हैं लड़के, या लड़कियों में क्या खासियत देखते हैं लड़के। जब लड़का लड़की को देखता है तो उनकी किन-किन चीजों को नोटिस करता है। अगर आप नहीं जानते तो जरा इन तस्वीरों को देखिए....",0.6531643
"""Should I wear my lime green pants?"" dad its 4th of july...",Should I wear my red and blue pants ,"""क्या मुझे अपनी नींबू की हरी पैंट पहननी चाहिए?",गर्मियों में एक लंबी स्कर्ट पहनने के साथ क्या?,0.65293056
I still can’t believe England won the World Cup,I still can’t get over the fact England did not win the World Cup ,मैं अभी भी विश्वास नहीं कर सकता इंग्लैंड विश्व कप जीता,इंग्लैंड पहली बार बना विश्व विजेता,0.6528321
How does one find motivation to do basically anything? Asking for a friend.,"""How does somebody find motivation to do basically anything? I haven't had motivation in ages.""",किसी को कुछ भी करने के लिए प्रेरणा कैसे मिलती है?,भला कोई ऐसे कैसे कर सकता है?,0.65244955
